username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
username,color
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
aUser,pink
basicPerson,red
anotherUser,green
thirdUser,blue
